1202 - 1 for period 13 to 24
1202,13, Payment - GL,460,02/07/2012,99500,,Star Coffee, Coffee,Milk,Sugar,
1202,13, Payment - GL,465,02/07/2012,266200,,Staff Lunch c/o Ms Nabagereke,
1202,13, Payment - GL,667,02/07/2012,99500,,Star Coffe,Sugar,MIlk,
1202,13, Payment - GL,679,03/07/2012,179400,,Staff Lunch,
1202,13, Payment - GL,691,04/07/2012,183400,,Staff Lunch,
1202,13, Payment - GL,706,05/07/2012,187400,,Staff Lunch,
1202,13, Payment - GL,714,06/07/2012,177400,,Staff Lunch,
1202,13, Payment - GL,730,07/07/2012,148800,,Staff Lunch,
1202,13, Payment - GL,745,09/07/2012,283600,,Staff Lunch,
1202,13, Payment - GL,749,09/07/2012,143700,,Sugar Coffee milk Tea leaves,
1202,13, Payment - GL,750,09/07/2012,700,,Match boxes,
1202,13, Payment - GL,754,10/07/2012,183400,,Staff Lunch,
1202,13, Payment - GL,769,11/07/2012,184800,,Staff Lunch,
1202,13, Payment - GL,782,12/07/2012,200800,,Staff Lunch,
1202,13, Payment - GL,790,13/07/2012,170400,,Staff Lunch,
1202,13, Payment - GL,824,16/07/2012,286200,,Staff lunch c/o Erina,
1202,13, Payment - GL,830,16/07/2012,111500,,Sugar , Coffee, Tea, Milk ,
1202,13, Payment - GL,843,17/07/2012,180800,,Staff lunch c/o Erina,
1202,13, Payment - GL,851,18/07/2012,182800,,Staff lunch c/o Erina,
1202,13, Payment - GL,864,19/07/2012,171400,,Staff lunch c/o Erina,
1202,13, Payment - GL,871,20/07/2012,174800,,Staff lunch c/o Erina,
1202,13, Payment - GL,1360,20/07/2012,53000,,Cooking gas,
1202,13, Payment - GL,882,21/07/2012,160800,,Staff lunch c/o Erina,
1202,13, Payment - GL,892,23/07/2012,283100,,Staff lunch c/o Erina,
1202,13, Payment - GL,1366,23/07/2012,93000,,Sugar and Milk,
1202,13, Payment - GL,897,24/07/2012,186300,,Staff lunch c/o Erina,
1202,13, Payment - GL,903,25/07/2012,188800,,Staff lunch c/o Erina,
1202,13, Payment - GL,908,26/07/2012,176800,,Staff Lunch ,
1202,13, Payment - GL,920,27/07/2012,174300,,Staff Lunch ,
1202,13, Payment - GL,934,28/07/2012,14000,,Coffee,
1202,13, Payment - GL,937,28/07/2012,146800,,Staff Lunch ,
1202,13, Payment - GL,1382,30/07/2012,93000,,Sugar, MIlk,
1202,13, Payment - GL,1387,31/07/2012,168800,,Staff meals,
1202, 13, Period Total,,,5355200
1202,14, Payment - GL,945,01/08/2012,170800,,Staff Lunch ,
1202,14, Payment - GL,964,04/08/2012,351600,,Staff Lunch ,
1202,14, Payment - GL,966,04/08/2012,158300,,Staff Lunch ,
1202,14, Payment - GL,972,06/08/2012,289600,,Staff Lunch ,
1202,14, Payment - GL,1395,06/08/2012,110800,,Star Coffee, Tea, Sugar, Milk,
1202,14, Payment - GL,979,07/08/2012,184800,,Staff Lunch ,
1202,14, Payment - GL,987,08/08/2012,182800,,Staff Lunch ,
1202,14, Payment - GL,1005,09/08/2012,178800,,Staff Lunch ,
1202,14, Payment - GL,998,10/08/2012,172800,,Staff Lunch ,
1202,14, Payment - GL,1012,11/08/2012,146800,,Staff Lunch ,
1202,14, Payment - GL,1024,13/08/2012,275600,,Staff Lunch ,
